kic,prot,teff
3662790,17.531,4311
3727538,37.868,3830
3727878,23.058,3668
3729847,28.01,3955
3730371,41.747,3451
3730841,11.447,3934
3731429,23.035,3879
3731432,21.284,3780
3731563,3.564,4098
3733547,23.615,4266
3733753,16.18,3701
3734260,43.778,4273
3734393,8.937,4359
3736208,34.659,4091
3744112,14.811,4118
3745222,15.091,4235
3745742,17.958,3657
3748172,1.054,3989
3748458,33.318,4360
3748728,28.161,4221
3748918,26.683,3746
3749207,7.082,4120
3750594,24.465,4149
3751557,33.194,4065
3756034,40.327,3747
3756669,19.02,4113
3757251,15.768,3635
3757729,37.328,4263
3757788,26.048,3690
3758197,22.331,3818
3758610,14.249,4058
3760677,35.736,3655
3762903,44.591,3487
3765134,41.276,3552
3831534,37.226,3388
3831911,1.838,3856
3832499,13.01,4318
3832957,17.921,3957
3834169,19.71,4198
3835071,37.427,3941
3836862,8.479,4312
3837496,29.939,4195
3837507,29.141,3683
3838294,34.452,3512
3839850,43.062,3915
3847487,30.314,4211
3849447,31.084,4213
3852064,40.282,3854
3852116,3.11,4391
3852447,15.316,4351
3853598,14.672,4155
3855009,20.989,4205
3859875,27.996,4369
3860761,23.969,4359
3868387,31.236,4267
3868940,43.575,3951
3869879,19.244,4199
3934090,5.821,3814
3934593,33.144,3644
3935499,5.227,3837
3935803,1.688,4273
3935942,37.207,3521
3936562,33.995,4401
3938241,16.781,3769
3938944,31.906,3991
3939839,16.462,4346
3940002,27.088,4396
3940072,54.579,3523
3940372,19.64,3462
3941415,26.149,3795
3946894,39.309,3658
3951599,18.011,3881
3953725,10.74,4198
3953916,55.567,4169
3954217,30.28,3588
3954449,11.472,4200
3954961,13.123,4226
3955183,32.906,4399
3955879,32.99,3726
3955891,33.536,3520
3956991,19.235,4243
3957214,14.906,4151
3957292,33.559,3782
3962433,0.638,3740
3962715,0.497,4165
3964492,17.174,4186
3965229,33.811,3628
3965861,27.47,4389
3966673,13.061,4333
3966704,31.635,3871
3968552,22.842,3984
3969430,30.401,4163
3969563,23.633,3815
3971772,36.964,4082
3973090,40.756,4070
3974567,25.72,4000
3974804,33.532,3610
4035503,14.413,4107
4036313,37.726,3455
4036520,19.241,4088
4038439,26.84,3508
4040928,26.898,4233
4043389,38.626,3713
4044678,26.162,3688
4045182,38.957,4221
4047900,10.946,4361
4047976,25.558,4393
4048591,20.05,4306
4049158,42.527,3758
4055390,18.328,4097
4056422,23.988,4149
4059277,15.284,4261
4060965,40.263,3427
4061322,24.902,4055
4063974,19.04,4395
4065607,22.011,4121
4065705,1.363,4223
4066245,1.939,4320
4066712,27.568,4352
4067894,5.066,3358
4067938,32.777,4282
4068018,39.506,3861
4068252,21.904,4151
4068727,32.137,3684
4070633,0.417,4108
4074068,13.841,3500
4076672,30.565,4296
4077460,27.285,4221
4078087,30.197,3946
4078175,22.308,3910
4079165,18.714,4311
4079437,28.712,4185
4135605,39.611,3910
4136712,24.593,4290
4137679,21.891,4090
4138564,28.569,4206
4139476,20.591,3791
4140528,52.676,3346
4142890,18.765,3519
4143604,41.719,4357
4143981,34.478,4108
4144094,23.406,4256
4144893,17.896,4312
4147163,23.883,4304
4147960,27.832,4213
4148125,17.982,3919
4148277,29.785,4290
4149184,44.618,4343
4155647,48.991,4251
4156209,13.859,4340
4158372,8.008,4116
4159885,33.442,3811
4160250,16.235,4316
4164310,29.969,3483
4164424,39.993,3725
4168513,15.156,4152
4169930,0.409,4209
4172405,11.724,4188
4173466,38.086,3399
4173626,25.483,3928
4173901,36.216,4214
4174051,24.098,4295
4174461,19.657,4208
4174717,5.926,4025
4175216,13.88,4262
4175398,31.556,3853
4175517,48.422,3519
4175707,0.388,3825
4178442,14.183,4171
4179238,29.288,4310
4179525,20.777,3827
4181240,28.778,3549
4181245,19.879,3546
4241333,16.989,4258
4241801,33.494,4319
4242514,31.52,3436
4242806,21.379,4111
4242943,28.698,3895
4243104,43.779,4107
4243354,39.443,3794
4244311,33.327,4364
4244458,12.658,4117
4244723,14.37,4098
4245790,20.387,4222
4246478,37.803,4066
4246864,27.975,4396
4247106,16.1,4095
4247444,29.286,4396
4248763,1.79,4116
4249282,20.455,4317
4249525,10.776,4294
4249749,4.252,4217
4249928,30.363,4147
4253385,38.976,3581
4253705,27.067,4203
4253804,12.293,4171
4254223,31.149,3920
4254317,39.739,4059
4255219,18.532,3902
4255379,14.442,3925
4264634,12.426,3941
4265143,30.977,4154
4265713,32.042,4394
4265815,40.903,3509
4269448,28.803,3986
4271485,31.439,3981
4273882,15.051,3909
4274461,28.887,4261
4275230,24.383,3886
4275254,15.144,3949
4275360,19.054,4193
4275681,26.378,3527
4275867,20.731,4316
4277623,47.672,3614
